MD5;ROM Serial;Name (No-Intro);is_synthetic
1D535AAC30B714E3AD5ECCF17025ECE2;CGB-BP6J-0;Doki x Doki Sasete!! (Japan);True
E6A3D906BC47516138CA14578601AF02;CGB-B96J-0;Dokidoki Densetsu - Mahoujin Guruguru (Japan);True
CD4CA93B289AA0D7EF6A26B848E5E06A;CGB-BUDJ-0;Donald Duck - Daisy o Sukue! (Japan);True
4FD68C1CF8B57E90A5B11B054FC68B46;CGB-BQAE-0;Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It);True
5315C21EAFFDE4A641A02D89F18E2A95;CGB-BQAP-0;Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It);False
EF2A181785CC591AC53E960C68E14216;CGB-BDDJ-0;Donkey Kong 2001 (Japan);True
DC94079146EE90D7DD7D72280A3FAAD5;CGB-BDDP-0;Donkey Kong Country (USA, Europe) (En,Fr,De,Es,It);False
22AFE691095C65F34AEABA3C283B2A9C;CGB-AD3J-0;Donkey Kong GB - Dinky Kong & Dixie Kong (Japan);True
1DDDF21BCC96C84A9294BDB411A49728;DMG-ADAJ-0;Doraemon - Aruke Aruke Labyrinth (Japan) (GB Compatible);False
9BBE3CB922A017053D86D1355EE69794;DMG-BRDJ-0;Doraemon - Kimi to Pet no Monogatari (Japan) (GB Compatible);True
D0009C14CFDCD02695D84D068C0D4ABE;DMG-ADOJ-0;Doraemon Kart 2 (Japan) (SGB Enhanced) (GB Compatible);True
1F0E9DA07447DE982BC0FBC0EB3A5D24;DMG-BDMJ-0;Doraemon Memories - Nobita no Omoide Daibouken (Japan) (GB Compatible);False
509CA3DC125131B1A4B1667CCC64FD27;CGB-BQBJ-0;Doraemon no Quiz Boy (Japan);True
15BEDC4919965732CBFB301F11E5B36A;CGB-BQ7J-0;Doraemon no Quiz Boy 2 (Japan);False
D10D56951B817115477D72A855D7C025;CGB-BGKJ-0;Doraemon no Study Boy - Gakushuu Kanji Game (Japan);True
E599E5AAB2CFE2FC95D340A5C910D87E;CGB-BKYJ-0;Doraemon no Study Boy - Kanji Yomikaki Master (Japan);True
7F0D28D7C0268B55BB8682224C178308;CGB-BQQJ-0;Doraemon no Study Boy - Kuku Game (Japan);True
01FB7107B8432D3EED3E131605D682A3;CGB-BDUF-0;Doug - La Grande Aventure (France);True
535AC79C69B22ED21CC9AF0D4C10BEA8;CGB-BDUD-0;Doug's Big Game (Germany);False
19E0D71A2A6090E0F59607CA4DA9B156;CGB-BDUE-0;Doug's Big Game (USA);True
448AF6D54CE1886456C98209F53ABDC7;CGB-BDFJ-0;Dr. Rin ni Kiitemite! - Koi no Rin Fuusui (Japan);True
192AEC8DCA7656463BE56991F497CFF3;CGB-BUAP-0;Dracula - Crazy Vampire (Europe) (En,Fr,De,Es,It);False
0B943EFDF2CA967827A4C7BF951F6448;CGB-BUAE-0;Dracula - Crazy Vampire (USA);True
A94A1C6268555926CA1A3B439A2FB65C;CGB-BBZJ-0;Dragon Ball Z - Densetsu no Chou Senshi-tachi (Japan);True
9324855FEF2227A4410725ED20845BFB;CGB-BBZS-0;Dragon Ball Z - Guerreros de Leyenda (Spain);True
4CDE8DAC14B8ACE83F8A4716CCB2DBF0;CGB-BBZI-0;Dragon Ball Z - I Leggendari Super Guerrieri (Italy);False
B587D5AE7C464408526489B67DFCA07D;CGB-BBZD-0;Dragon Ball Z - Legendaere Superkaempfer (Germany);False
