MD5;Name (No-Intro);Size;Dump Type;Good Dump;Date;Datter;Cart Serial;PCB;ROM Serial;Stamp
30EC849758F703D7071E2AC28E048101;Alone in the Dark - The New Nightmare (Europe) (En,Fr,De,Es,It,Nl);4194304;Trusted Dump;TRUE;12 10 2010;root;CGB-BIDP-UKV;;;;
D97055E4A2FD4624FC924C4834ACE35E;Alone in the Dark - The New Nightmare (USA) (En,Fr,Es);4194304;Third Party;TRUE;01 01 1990;root;CGB-BIDE-USA;;;;
3F0F1CC327FF1BE267B226B85B7A11C6;Animal Breeder 3 (Japan) (SGB Enhanced) (GB Compatible);4194304;Trusted Dump;TRUE;03 04 2014;Tauwasser;DMG-AA3J-JPN;DMG-A03-01;DMG-AA3J-0;12;
22D11B8D9670FB9B4CA84368F0F50CEE;Animal Breeder 4 (Japan);4194304;Trusted Dump;TRUE;03 04 2014;Tauwasser;CGB-A4AJ-JPN;DMG-A03-10;CGB-A4AJ-0;12;
26C14F848115AF6246B8F514FBEB6DAB;Animastar GB (Japan);2097152;Trusted Dump;TRUE;01 01 1990;root;CGB-BNMJ-JPN;;;;
26C14F848115AF6246B8F514FBEB6DAB;Animastar GB (Japan);2097152;Trusted Dump;TRUE;23 08 2014;BigFred;CGB-BNMJ-JPN;;CGB-BNMJ-0;;
6D9AB3B90805908D732C275157E29C79;Animorphs (Europe) (En,Fr,De,Es,It);1048576;Third Party;TRUE;01 01 1990;root;CGB-BAMP-EUR;;;;
12E82CB028ED40CDC0C80B2D2E3CF0CB;Animorphs (USA);1048576;Third Party;TRUE;01 01 1990;root;CGB-BAME-USA;;;;
D55433C70617D18BB078426E8CD99708;Anpfiff - Der RTL Fussball-Manager (Germany);1048576;Trusted Dump;TRUE;06 09 2010;root;CGB-BFBD-NOE;;CGB-BFBD-0;;
D55433C70617D18BB078426E8CD99708;Anpfiff - Der RTL Fussball-Manager (Germany);1048576;Trusted Dump;TRUE;14 02 2014;Tauwasser;CGB-BFBD-NOE;DMG-A06-01;CGB-BFBD-0;22;
E4C1111DCC4DC23860CE016DAF584DC1;Antz (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible);1048576;Third Party;TRUE;01 01 1990;root;DMG-ANXP-EUR;;;;
A4B695325AC28BE2E388F5B9186987BA;Antz (USA) (En,Fr,Es) (GB Compatible);1048576;Trusted Dump;TRUE;07 09 2010;root;DMG-ANXE-USA;;DMG-ANXE-0;;
CB9C9001A0DF32E6F89216E291684836;Antz Racing (Europe) (En,Fr,De,Es,It,Nl);1048576;Trusted Dump;TRUE;07 09 2010;Tauwasser;CGB-BAZP-UKV;DMG-A07-01;CGB-BAZP-0;;
87397DB3151F3DD5B53CDFBB24A98588;Antz Racing (USA) (En,Fr,De,Es,It,Nl);1048576;Trusted Dump;TRUE;07 09 2010;Tauwasser;CGB-BAZE-USA;DMG-A07-01;CGB-BAZE-0;;
9C3800BABD418A937F4429BBAAF2B81D;Antz World Sportz (Europe) (En,Fr,De,Es,It,Nl);1048576;Third Party;TRUE;01 01 1990;root;CGB-BA7P-EUR;;;;
B40DBE0F8AC98EDE81F05C37DD0F67B1;Aqualife (Japan) (SGB Enhanced) (GB Compatible);1048576;Third Party;TRUE;01 01 1990;root;;;;;
B40DBE0F8AC98EDE81F05C37DD0F67B1;Aqualife (Japan) (SGB Enhanced) (GB Compatible);1048576;Trusted Dump;TRUE;02 11 2017;xuom2;DMG-AALJ-JPN;;;;
341249F65F19579B9D335C807982B6FA;Arcade Hits - Joust & Defender (USA, Europe) (GB Compatible);1048576;Trusted Dump;TRUE;11 11 2012;BigFred;AADP;;;;
8FFCF9DA76AA9BA1C5B1789A92F47D21;Arcade Hits - Moon Patrol & Spy Hunter (USA, Europe) (GB Compatible);1048576;Trusted Dump;TRUE;11 11 2012;BigFred;ADUP;;;;
9ABAF0DFEB58B76D6B5CCE4B42756C8E;Arle no Bouken - Mahou no Jewel (Japan) (SGB Enhanced) (GB Compatible);1048576;Third Party;TRUE;01 01 1990;root;DMG-BRBJ-JPN;;;;
43527E9AFF69649306C749DA2D3C72C0;Armada - FX Racers (USA);1048576;Third Party;TRUE;01 01 1990;root;CGB-BARE-USA;;;;
0B2AB6C8EE77D7DC6856EBFFCFEB9C43;Armorines - Project S.W.A.R.M. (USA, Europe) (En,De);1048576;Trusted Dump;TRUE;01 01 1990;root;CGB-AOXE-USA;;;;
0B2AB6C8EE77D7DC6856EBFFCFEB9C43;Armorines - Project S.W.A.R.M. (USA, Europe) (En,De);1048576;Trusted Dump;TRUE;11 09 2010;Tauwasser;CGB-AOXP-EUR;DMG-A07-01;CGB-AOXP-0;;
C75BF50B9FEC4E89CED9A2BDFBEB4245;Army Men (USA, Europe) (En,Fr,De);1048576;Trusted Dump;TRUE;01 01 1990;root;CGB-AVCP-UKV;;;;
