9A5215658C60A1802B11F728C292B536;Akazukin Chacha (Japan) (SGB Enhanced);262144;Trusted Dump;True;14 10 2004;akubi;DMG-ACCJ-JPN;;DMG-ACCJ-0;
6761F77E6DAA82120DD7C73ADEEC777E;Akumajou Dracula - Shikkoku Taru Zensoukyoku - Dark Night Prelude (Japan) (SGB Enhanced);262144;Third Party;True;10 02 2011;kazumi213;DMG-ADNJ-JPN;;;
63F593E38A526A10FF3FA5AEC1C8CCB0;Akumajou Special - Boku Dracula-kun (Japan);262144;Third Party;True;12 01 2014;BigFred;DMG-DFJ;;;
781F768D5211ABA1E4CF383D4585C1BD;Aladdin (Europe) (SGB Enhanced);262144;Trusted Dump;True;11 09 2010;root;DMG-ALAP-EUR;;DMG-ALAP-0;
781F768D5211ABA1E4CF383D4585C1BD;Aladdin (Europe) (SGB Enhanced);262144;Trusted Dump;True;08 11 2011;BigFred;DMG-ALAP-EUR-1;;;22
ED5525A71DDA6EAF4BBF8D5601B6B3B9;Aladdin (USA) (SGB Enhanced);262144;Third Party;True;01 01 1990;root;DMG-ALAE-USA;;;
B83F3C669D22BC74C72743821AE3AAA3;Alfred Chicken (Europe);131072;Trusted Dump;True;01 11 2010;BigFred;DMG-C3-UKV;;DMG-C3X-0;
A95E6579F8D6048C5E150C41D180C782;Alfred Chicken (Japan) (SGB Enhanced);262144;Third Party;True;01 01 1990;root;DMG-C3-JPN;;;
CAC921F8EEC70D5CCD8A2DB8F473A084;Alfred Chicken (USA);131072;Third Party;True;01 01 1990;root;DMG-C3-USA;;;
4F5C4C439F1134177E02D72C794882BA;Alien 3 (Japan);131072;Third Party;True;01 01 1990;root;DMG-L3-JPN;;;
B3F3D35F58A0EA3AFFC0EC6D4EE1183D;Alien 3 (USA, Europe);131072;Trusted Dump;True;17 11 2004;akubi;DMG-L3-USA;;DMG-L3E-0;22
B3F3D35F58A0EA3AFFC0EC6D4EE1183D;Alien 3 (USA, Europe);131072;Trusted Dump;True;01 11 2011;BigFred;DMG-L3-NOE;;DMG-L3E-0;
D300BF9412617A95B00B80FA468A8A04;Alien Olympics (Europe);131072;Trusted Dump;True;17 08 2004;akubi;DMG-ALGP-UKV;;DMG-ALGP-0;
AB916E1DF69E7B3401CB6EBD3F1798A7;Alien vs Predator (Japan);131072;Third Party;True;26 11 2010;kazumi213;DMG-A9J;;;
50A208BD0A223C037E01FFE07B04FA5B;Alien vs Predator - The Last of His Clan (USA);131072;Third Party;True;01 01 1990;root;DMG-A9-USA;;;
79492CE68C61AE8E29B96DB1D2E2BF6F;All-Star Baseball 99 (USA);524288;Third Party;True;26 11 2010;kazumi213;DMG-AB9E-USA;;;
91128778A332495F77699EAF3A37FE30;Alleyway (World);32768;Third Party;True;01 01 1990;root;DMG-AW-ESP-1;;;
91128778A332495F77699EAF3A37FE30;Alleyway (World);32768;Trusted Dump;True;05 11 2004;akubi;DMG-AWA;;DMG-AWA-0;23
91128778A332495F77699EAF3A37FE30;Alleyway (World);32768;Trusted Dump;True;08 11 2011;BigFred;DMG-AW-UKV;;;0
B4AB37EE420C11285BE1C634C34F5726;Altered Space - A 3-D Alien Adventure (Europe);131072;Third Party;True;01 01 1990;root;DMG-AL-NOE;;;
3208CC9EE33A163CD7CAD242DB3E1F4A;Altered Space - A 3-D Alien Adventure (Japan);131072;Third Party;True;01 01 1990;root;DMG-AL-JPN;;;
012EE0A196C03CCA91A43A9EADBECFB6;Altered Space - A 3-D Alien Adventure (USA);131072;Trusted Dump;True;17 08 2004;akubi;DMG-AL-USA;;DMG-ALE-0;22
